    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)        fxyz         fx3          fy3          fz3       fx(y2-z2)    fy(z2-x2)    fz(x2-y2)        f          Int(f)       total      Int(total) 
 -138.0000  4.85791E-13  5.00697E-13  1.91499E-13  1.73026E-13  1.82268E-13  5.46792E-13  5.58479E-13  3.81216E-14  2.29207E-14  8.88822E-14  4.65647E-14  5.25270E-14  2.49016E-13  2.52352E-13  4.70714E-14  6.76804E-14  3.84227E-14  6.17158E-14  6.87994E-14  2.65764E-14  7.25284E-14  3.82794E-13  3.97310E-13  1.66439E-12  1.70884E-12
 -137.5000  4.81081E-13  5.18376E-13  1.89842E-13  1.71361E-13  1.80615E-13  5.41819E-13  5.78391E-13  3.77312E-14  2.26527E-14  8.83617E-14  4.60451E-14  5.21143E-14  2.46905E-13  2.61425E-13  4.65387E-14  6.70382E-14  3.79330E-14  6.10109E-14  6.82022E-14  2.60856E-14  7.19900E-14  3.78799E-13  4.11231E-13  1.64860E-12  1.76942E-12
 -137.0000  4.76323E-13  5.35881E-13  1.88175E-13  1.69714E-13  1.78952E-13  5.36841E-13  5.98119E-13  3.73555E-14  2.24015E-14  8.78107E-14  4.55392E-14  5.17025E-14  2.44809E-13  2.70422E-13  4.60088E-14  6.64071E-14  3.74454E-14  6.03075E-14  6.76187E-14  2.55935E-14  7.14553E-14  3.74836E-13  4.25006E-13  1.63281E-12  1.82943E-12
 -136.5000  4.71611E-13  5.53212E-13  1.86515E-13  1.68071E-13  1.77298E-13  5.31884E-13  6.17665E-13  3.69615E-14  2.21374E-14  8.72726E-14  4.50078E-14  5.12922E-14  2.42672E-13  2.79340E-13  4.54783E-14  6.57738E-14  3.69627E-14  5.96071E-14  6.70326E-14  2.51162E-14  7.09197E-14  3.70890E-13  4.38636E-13  1.61706E-12  1.88885E-12
 -136.0000  4.66965E-13  5.70373E-13  1.84863E-13  1.66433E-13  1.75651E-13  5.26947E-13  6.37030E-13  3.65897E-14  2.18556E-14  8.67417E-14  4.45033E-14  5.08919E-14  2.40582E-13  2.88181E-13  4.49516E-14  6.51444E-14  3.64848E-14  5.89097E-14  6.64508E-14  2.46317E-14  7.03857E-14  3.66959E-13  4.52121E-13  1.60145E-12  1.94771E-12
 -135.5000  4.62204E-13  5.87358E-13  1.83216E-13  1.64789E-13  1.74014E-13  5.22019E-13  6.56214E-13  3.62113E-14  2.16115E-14  8.61989E-14  4.39778E-14  5.04826E-14  2.38482E-13  2.96945E-13  4.44272E-14  6.45210E-14  3.60097E-14  5.82158E-14  6.58713E-14  2.41562E-14  6.98527E-14  3.63054E-13  4.65463E-13  1.58576E-12  2.00598E-12
 -135.0000  4.57599E-13  6.04175E-13  1.81571E-13  1.63157E-13  1.72371E-13  5.17100E-13  6.75217E-13  3.58295E-14  2.13282E-14  8.56530E-14  4.34597E-14  5.00722E-14  2.36343E-13  3.05631E-13  4.38990E-14  6.38939E-14  3.55415E-14  5.75248E-14  6.52927E-14  2.36823E-14  6.93222E-14  3.59156E-13  4.78662E-13  1.57020E-12  2.06368E-12
 -134.5000  4.52988E-13  6.20822E-13  1.79931E-13  1.61523E-13  1.70730E-13  5.12185E-13  6.94040E-13  3.54372E-14  2.10655E-14  8.51181E-14  4.29381E-14  4.96733E-14  2.34232E-13  3.14238E-13  4.33753E-14  6.32721E-14  3.50728E-14  5.68367E-14  6.47193E-14  2.32118E-14  6.87911E-14  3.55279E-13  4.91718E-13  1.55468E-12  2.12082E-12
 -134.0000  4.48430E-13  6.37301E-13  1.78301E-13  1.59900E-13  1.69103E-13  5.07304E-13  7.12683E-13  3.50574E-14  2.07970E-14  8.45766E-14  4.24222E-14  4.92533E-14  2.32106E-13  3.22768E-13  4.28541E-14  6.26540E-14  3.46061E-14  5.61523E-14  6.41467E-14  2.27459E-14  6.82623E-14  3.51421E-13  5.04633E-13  1.53926E-12  2.17739E-12
 -133.5000  4.43850E-13  6.53612E-13  1.76669E-13  1.58285E-13  1.67483E-13  5.02437E-13  7.31147E-13  3.46838E-14  2.05512E-14  8.40402E-14  4.19064E-14  4.88389E-14  2.30021E-13  3.31221E-13  4.23337E-14  6.20382E-14  3.41450E-14  5.54706E-14  6.35767E-14  2.22900E-14  6.77323E-14  3.47587E-13  5.17406E-13  1.52389E-12  2.23339E-12
